"","ReefName","fishing","coast_dev","industr_dev","tourism","sediments","nutrients","cumulative","Region","top.threat","first.threat","second.threat"
"1","Abrolhos Bank",0.527841771085014,0.352168657044472,0,0.813530295259726,0.65901316757393,0.839653234573361,0.445031549995016,"Caribbean-Atlantic",6,"nutrient","tourism"
"2","Aceh",0.930250416736903,0.684702175983589,0,0.748232471243315,0.754533249963219,0.809813351021687,0.647946283447138,"Southeast Asia",1,"grav_NC","nutrients"
"3","Bahamas",0.507932048472589,0.502106381419884,0,0.779983881603048,0.483025599529204,0.523252814474969,0.419875564588759,"Caribbean-Atlantic",4,"reef_value","nutrients"
"4","Banggai to Gulf of Tomini",0.453784345676238,0.694959337680416,0,0,0.631013682506988,0.645219538260277,0.418351838329036,"Southeast Asia",2,"pop_count","nutrients"
"5","Belitung",0.478526343391208,0.70210271814785,0,0,0.609377298808298,0.82817423028025,0.431669256125625,"Southeast Asia",6,"nutrient","coast_dev"
"6","Bird's Head",0.416324848757281,0.605667081837497,0,0,0.653587979991173,0.598732334678385,0.43008872359389,"Southeast Asia",5,"sediment","coast_dev"
"7","Cendrawasih",0.169354385570602,0.626016557989596,0,0,0.669063557451817,0.581375637978369,0.338083068739938,"Southeast Asia",5,"sediment","coast_dev"
"8","Central Bahamas",0.743233878369014,0.504194446479596,0,0.836050260092314,0.498197734294542,0.561457815119857,0.519073972467535,"Caribbean-Atlantic",4,"reef_value","fishing"
"9","Central Philippines",0.714352606244498,0.927274891933475,0,0.724613524800352,0.773126011475651,0.858032539199971,0.572775029871985,"Southeast Asia",2,"pop_count","nutrients"
"10","Central Red Sea",0.733382030679328,0.383214887537549,0,0,0.78079483595704,0.861745250861386,0.426834537745304,"Middle East and North Africa",6,"nutrient","sediments"
"11","Central Sulawesi",0.617126481991347,0.681551762033849,0,0,0.79838531705164,0.819827538555083,0.460508134486682,"Southeast Asia",6,"nutrient","sediments"
"12","Central Tanzania",0.918553688823959,0.746812953329914,0,0,0.733889951449169,0.846277154386159,0.529587768354173,"East Africa",1,"grav_NC","nutrients"
"13","Comoros/Mayotte",0.797756176134555,0.907355850245439,0,0.684738808703934,0.659169486538179,0,0.445284813153164,"East Africa",2,"pop_count","fishing"
"14","Cuba North/Bahamas",0.62418759716057,0.467616675214301,0,0.723258114147557,0.468202883625129,0.522322333388609,0.415967733909853,"Caribbean-Atlantic",4,"reef_value","fishing"
"15","Cuba Northwest",0.856043153340451,0.635064839915012,0,0.799307641585464,0.589359276151243,0.799403018075286,0.587406668375359,"Caribbean-Atlantic",1,"grav_NC","nutrients"
"16","Cuba South",0.831188777134723,0.431112169389699,0,0,0.65307304693247,0.943507821568736,0.445303458808375,"Caribbean-Atlantic",6,"nutrient","fishing"
"17","Cuba Southeast",0.775374126725478,0.366162356216573,0,0,0.461619096660291,0.739870653916312,0.334663906839373,"Caribbean-Atlantic",1,"grav_NC","nutrients"
"18","Eastern Mindinao",0.834560131857429,0.899223386328669,0,0.69038024763719,0.786560247167868,0.785934074033129,0.564615191060343,"Southeast Asia",2,"pop_count","fishing"
"19","Eel - NGBR",0.0752467644359536,0,0,0,0,0.483260553129549,0.0871256572254619,"Australia",6,"nutrient","fishing"
"20","Flores/Timor",0.421288232099043,0.804399589713532,0,0,0.827607768133,0.819449818510125,0.44281661216281,"Southeast Asia",5,"sediment","nutrients"
"21","Gallon-NGBR",0.0754059672978592,0,0,0,0,0.503675860925322,0.137787493966916,"Australia",6,"nutrient","fishing"
"22","Great Barrier Reef Central",0.474536906969339,0,0,0,0,0,0.0828793635027288,"Australia",1,"grav_NC","coast_dev"
"23","Gulf of Boni",0.779344833398887,0.623965125650231,0,0,0.818007944681477,0.937077368120428,0.470090556459855,"Southeast Asia",6,"nutrient","sediments"
"24","Gulf of Thailand",0.647787080219513,0.68379551615503,0,0.887803135760862,0.673937031043107,0.773524588653658,0.542104992105054,"Southeast Asia",4,"reef_value","nutrients"
"25","Gulf of Tomini",0.645661253769362,0.75800424939556,0,0,0.893592761512432,0.889650470768154,0.511869892591544,"Southeast Asia",5,"sediment","nutrients"
"26","Halmahera",0.392500608716825,0.670140669646128,0,0,0.668695748124172,0.553737585908278,0.374626301982881,"Southeast Asia",2,"pop_count","sediments"
"27","Hispanola",0.891386188683486,0.886969741372994,0,0.790992014066965,0.902181109312932,0.645440642676837,0.625837837192121,"Caribbean-Atlantic",5,"sediment","fishing"
"28","Karimunjawa to Kangean",0.789093667472046,0.832350355337387,0,0,0.59816830954833,0.82094227332191,0.487158851756085,"Southeast Asia",2,"pop_count","nutrients"
"29","Kenya/Somalia",0.766130995860726,0.635889076122793,0,0,0.713991466823599,0.836493283953347,0.447309211087262,"East Africa",6,"nutrient","fishing"
"30","Lakshadweep",0.297690622014946,0,0,0,0,0,0.10125448816999,"Indian Ocean",1,"grav_NC","coast_dev"
"31","Lakshadweep North",0.109812515217921,0,0,0,0,0,0.0190400732031072,"Indian Ocean",1,"grav_NC","coast_dev"
"32","Maceio",0.961060852952745,0.919710235182065,0,0.931185434830391,0.97522804178314,0.991192674073665,0.778779040648675,"Caribbean-Atlantic",6,"nutrient","sediments"
"33","Mackay-GBR",0.523552658687794,0.320060077661367,0,0,0.586416801530087,0.60948353693365,0.34669484971186,"Australia",6,"nutrient","sediments"
"34","Makassar",0.831900507576183,0.429830024177595,0,0,0.604917610710608,0.890903395795331,0.430254915030335,"Southeast Asia",6,"nutrient","fishing"
"35","Maldives North",0.327864246783166,0.603844604000293,0,0.789911348816763,0,0,0.29071338616762,"Indian Ocean",4,"reef_value","coast_dev"
"36","Maldives South",0.691015339663988,0.525423107919994,0,0.93549893765111,0,0,0.372279790218841,"Indian Ocean",4,"reef_value","fishing"
"37","Mason - NGBR",0.0736921953138169,0,0,0,0,0,0.150271231566092,"Australia",1,"grav_NC","coast_dev"
"38","Mentawis",0.729289580640932,0.581910762693238,0,0,0.612301382963072,0.600961804212039,0.416847809586293,"Southeast Asia",1,"grav_NC","sediments"
"39","Milne Bay",0.279766252739226,0.390449849805847,0,0,0,0,0.117642275236771,"Melanesia",2,"pop_count","fishing"
"40","Mindinao to Cebu",0.68127587046506,0.931551762033849,0,0.760605172540113,0.804785199352656,0.805778195419454,0.562099975240016,"Southeast Asia",2,"pop_count","nutrients"
"41","Nicobar Islands",0.31872412953494,0.597717781522456,0,0,0.623639105487715,0.671917896559984,0.376291221017791,"Southeast Asia",6,"nutrient","sediments"
"42","North Mozambique",0.517072165720814,0.549710601509268,0,0,0.751976975136089,0.811923055663037,0.42520258779646,"East Africa",6,"nutrient","sediments"
"43","North Red Sea-Egypt II",0.606694012099418,0.341957286248077,0,0.812092460986153,0.513333088127115,0.571020581136108,0.412695879003759,"Middle East and North Africa",4,"reef_value","fishing"
"44","North Red Sea - Egypt I",0.57393568204379,0.405395999706938,0,0.938676826141109,0.535070619390908,0.560868203342362,0.420263723584008,"Middle East and North Africa",4,"reef_value","fishing"
"45","North Sulawesi",0.687700174186661,0.825161183969522,0,0,0.842835074297484,0.800987599727305,0.498103161414289,"Southeast Asia",5,"sediment","coast_dev"
"46","Northern Papua",0.221984978741736,0.729302513004616,0,0,0.631473444166544,0.633316750502091,0.363500060639259,"Southeast Asia",2,"pop_count","nutrients"
"47","Northwest Madagascar",0.687887471671255,0.588394754194447,0,0,0.862568044725614,0.766624288320159,0.474518467964236,"East Africa",5,"sediment","nutrients"
"48","Obi Island",0.422561854994287,0.745567440838157,0,0,0.74108062380462,0.677279678661581,0.41273061442963,"Southeast Asia",2,"pop_count","sediments"
"49","Palawan",0.428012211795996,0,0,0,0.615657643077828,0.718810458238903,0.292061996769362,"Southeast Asia",6,"nutrient","sediments"
"50","Persian Gulf",0.810230188608567,0.52659535497106,0,0,0.476864793291158,0.641654229543235,0.433481582264424,"Middle East and North Africa",1,"grav_NC","nutrients"
"51","Rakhine Coast",0.578103051076024,0.74401055022346,0,0,0.762284831543328,0.781327732021447,0.469949948637895,"Southeast Asia",6,"nutrient","sediments"
"52","Ralik Chain",0.0688224607143526,0.47712286614404,0,0,0,0,0.101424545295678,"Micronesia",2,"pop_count","fishing"
"53","Riau Islands",0.373986252364631,0.585894571030845,0,0,0.558555244961012,0.687542608663608,0.355805811325693,"Southeast Asia",6,"nutrient","coast_dev"
"54","Sabah",0.688505553370418,0.604375778445307,0,0,0.534123510372223,0.573434304350229,0.361878780442102,"Southeast Asia",1,"grav_NC","coast_dev"
"55","Sabalana Islands",0.637747935045232,0.439409480548025,0,0,0,0,0.167339742131403,"Southeast Asia",1,"grav_NC","coast_dev"
"56","Salvador",0.984585417017849,0.909205802622903,0,0.949813173126236,0.879947035456819,0.928472721242607,0.773316573413561,"Caribbean-Atlantic",1,"grav_NC","tourism"
"57","SE Red Sea",0.768537768537769,0.689803282291743,0,0,0.779498308077093,0.72608847861736,0.446487822811484,"Middle East and North Africa",5,"sediment","fishing"
"58","Simeulue to Nias",0.752186698132644,0.620072899113488,0,0,0.62244372517287,0.732445230593481,0.408252067024641,"Southeast Asia",1,"grav_NC","nutrients"
"59","Singapore",0.9217471109363,0.759780936332332,0,0.747197596893545,0.616944975724584,0.712214176478175,0.563873131921435,"Southeast Asia",1,"grav_NC","coast_dev"
"60","Solomon Islands",0.319960292933266,0.539709868854861,0,0,0.690488450787112,0,0.250891613553798,"Melanesia",5,"sediment","coast_dev"
"61","Somalia",0.985334606956229,0.923822258040882,0,0,0.713237457701927,0,0.437035462870367,"East Africa",1,"grav_NC","coast_dev"
"62","South Papua",0.282772377366972,0.542695435563045,0,0,0.688998823010152,0.606581541466291,0.346235531803285,"Southeast Asia",5,"sediment","nutrients"
"63","Southern Red Sea",0.698881834016969,0.446058319290791,0,0,0.455145652493747,0.525620474268974,0.34238038048599,"Middle East and North Africa",1,"grav_NC","nutrients"
"64","Southern Tanzania",0.884849506471128,0.772657337533885,0,0,0.71606958952479,0.844987378622888,0.502111818935331,"East Africa",1,"grav_NC","nutrients"
"65","Sri Lanka",0.91386188683486,0.902117371235988,0,0.826470803721884,0.791617625422981,0.943157739575848,0.677181448187423,"Indian Ocean",6,"nutrient","fishing"
"66","Sudan I",0.651046056451462,0,0,0,0.623823010151537,0.489617305105669,0.339880078659522,"Middle East and North Africa",1,"grav_NC","sediments"
"67","Sudan II",0.892641081830271,0.354751263828852,0,0,0.631142415771664,0.552447810145008,0.444899020233847,"Middle East and North Africa",1,"grav_NC","sediments"
"68","Sulu Archipelago",0.413168886141859,0.703769506923584,0,0,0.501094232749743,0.577239142851878,0.359098877338574,"Southeast Asia",2,"pop_count","nutrients"
"69","Sunda Strait",0.954842576464198,0.857223972452194,0,0.762107114074291,0.775213329410034,0.870561789471745,0.633729897689561,"Southeast Asia",1,"grav_NC","nutrients"
"70","SW Red Sea",0.905171283549662,0.616730163381933,0,0,0.804012799764602,0,0.390786381837593,"Middle East and North Africa",1,"grav_NC","sediments"
"71","Tahiti",0.359348953943549,0.799710601509268,0,0.863158473148216,0,0,0.382052789008365,"Polynesia",4,"reef_value","coast_dev"
"72","Takabonarate",0.63962090989118,0,0,0,0,0,0.16999351291668,"Southeast Asia",1,"grav_NC","coast_dev"
"73","Tanintharyi/Phuket",0.36900413927441,0.642940874789362,0,0,0.559934529939679,0.552926869714223,0.392854530178648,"Southeast Asia",2,"pop_count","sediments"
"74","Tanzania/Kenya",0.943689011256579,0.873525533006081,0,0.840198915671478,0.888314697660733,0.896946916514657,0.664027320055488,"East Africa",1,"grav_NC","nutrients"
"75","Torres Strait",0.177417542282407,0,0,0,0,0,0.0307619125731593,"Australia",1,"grav_NC","coast_dev"
"76","Tuamotus Central",0.100391451742803,0.441351014726354,0,0,0.415532587906429,0,0.160807514015739,"Polynesia",2,"pop_count","sediments"
"77","Tuamotus Northern",0.118840253975389,0.497966884020807,0,0,0.436534500514933,0,0.189208898863396,"Polynesia",2,"pop_count","sediments"
"78","Tuamotus Southern",0.0631941713022794,0.392904242069016,0,0,0.418585405325879,0,0.144874224898089,"Polynesia",5,"sediment","coast_dev"
"79","Van Diemen Gulf",0.355153490288625,0.327084401787677,0,0,0.67668640576725,0.678145670959777,0.337641853540207,"Australia",6,"nutrient","sediments"
"80","Vanua Balavu - NE Fiji",0.0163978947762732,0.407108579383105,0,0,0.58941444755039,0.550780314336779,0.253756207193982,"Melanesia",5,"sediment","nutrients"
"81","Vatu-i-Ra",0.511537525051039,0.527236427577112,0,0.715455344713898,0.692860820950419,0.584987010115527,0.40590684053646,"Melanesia",4,"reef_value","sediments"
"82","WhitsundayReef 1 - SGBR",0.433162892622352,0,0,0,0,0,0.081957074437458,"Australia",1,"grav_NC","coast_dev"
"83","WhitsundayReef 2-SGBR",0.380045325991272,0,0,0,0,0,0.0666970874032775,"Australia",1,"grav_NC","coast_dev"
