country,site,latitude,longitude
Fiji,BU03,-17.734462,178.59043
Fiji,BU08,-17.725,178.751
Fiji,BU09,-17.751,178.778
Fiji,NAO1,-17.746,178.827
Fiji,NAO3,-17.74,178.812
Fiji,NAOBF3,-17.598,178.825
Fiji,NAOBF4,-17.595,178.819
Fiji,VIR10,-17.4785,178.4892
Fiji,VIR11,-17.3589,178.4398
Fiji,VIR6,-17.4611,178.4942
Fiji,VIR7,-17.4466,178.4983
Indonesia,Anoi Hitam,5.825738056,95.37825389
Indonesia,Beurawang,5.777511111,95.33685194
Indonesia,Control Teunom 2,5.554888333,95.21267389
Indonesia,Deudap,5.607141944,95.19258111
Indonesia,Deudap 2,5.554888333,95.21267389
Indonesia,Jaboi,5.799778889,95.34604611
Indonesia,Kontrol Kota Atas,5.898000278,95.31451444
Indonesia,Lam Tadoh,5.600628056,95.124595
Indonesia,Lapeng,5.698566944,95.11094194
Indonesia,Leun Balee 1,5.7276,95.07301111
Indonesia,Lhok Weng,5.863641111,95.26643611
Indonesia,Lhong Angin 1,5.832608056,95.25836611
Indonesia,Lhong Angin 2,5.821983889,95.25977111
Indonesia,Paloh,5.664196111,95.09257694
Indonesia,Pemanfaatan Ie Meule,5.902357222,95.32695222
Indonesia,Reuteuk,5.857248889,95.36137889
Indonesia,Sumur Tiga,5.888368056,95.34547111
Indonesia,Ujung Kareung,5.876188889,95.35363575
Tanzania,Amana1,-8.7109,39.46088
Tanzania,Amana2,-8.70167,39.46367
Tanzania,Amana3,-8.70047,39.46022
Tanzania,Aquarium,-4.96,39.66
Tanzania,Changale,-5.3118,39.06928
Tanzania,Changale,-5.3118,39.06928
Tanzania,Changale,-5.3118,39.06928
Tanzania,Changuu,-6.1176,39.1692
Tanzania,Changuu,-6.1176,39.1692
Tanzania,Changuu,-6.1176,39.1692
Tanzania,Changuu,-6.1176,39.1692
Tanzania,Chapwani,-6.066944444,39.11
Tanzania,Chapwani,-6.066944444,39.11
Tanzania,Chapwani,-6.066944444,39.11
Tanzania,Chapwani,-6.066944444,39.11
Tanzania,Chundo,-4.9027,39.28679
Tanzania,Chundo 2,-4.91238,39.28746
Tanzania,Dambwe East,-5.64383,39.00757
Tanzania,Dambwe West,-5.64102,39.00128
Tanzania,Fuguni,-5.26773,39.12693
Tanzania,Fuguni,-5.26773,39.12693
Tanzania,Fuguni,-5.26773,39.12693
Tanzania,Fuguni,-5.26773,39.12693
Tanzania,Fuguni,-5.26773,39.12693
Tanzania,FundoChannel,-5.0693,39.6553
Tanzania,FundoOuter,-5.0693,39.6553
Tanzania,Jewe1,-8.65335,39.45437
Tanzania,Jewe3,-8.6348,39.4882
Tanzania,KasaBoma,-4.84947,39.21726
Tanzania,Kieti,-10.34,40.374
Tanzania,Kipwamkandini,-4.841939975,39.24017399
Tanzania,Kokota,-5.1503,39.63075
Tanzania,Kwata,-5.3782,39.56608
Tanzania,Kwata 2,-5.35805,39.58064
Tanzania,Kwata 3,-5.35805,39.58064
Tanzania,Makome,-5.27985,39.11589
Tanzania,Makome,-5.27985,39.11589
Tanzania,Makome,-5.27985,39.11589
Tanzania,Makome Temp,-5.2811,39.11554
Tanzania,Makome Temp,-5.2811,39.11554
Tanzania,Manta,-4.8857,39.67535
Tanzania,Mgandi,-4.825184969,39.22256403
Tanzania,Mivinjeni,-10.28,40.4
Tanzania,Mkaya1,-8.73467,39.50657
Tanzania,Mkaya2,-8.73448,39.51722
Tanzania,Mmongo,-10.27,40.33
Tanzania,MnaraniCorner,-4.8398,39.68116
Tanzania,Mtaa,-4.87009,39.31181
Tanzania,Mwamba Nyama4,-5.01021,39.22058
Tanzania,Mwamba Nyama5,-5.03392,39.20842
Tanzania,Mwamba Nyama6,-5.0402,39.21925
Tanzania,Mwamba Nyama Patch1,-5.02282,39.214086
Tanzania,Mwamba Nyama Patch2,-5.02282,39.214086
Tanzania,Mwamba Nyama South,-5.03502,39.20721
Tanzania,Mwamba wa kati,-8.63447,39.51503
Tanzania,Namponda,-10.28,40.38
Tanzania,Ngoa,-4.9646,39.6628
Tanzania,Panza Lagoon,-5.47884,39.62224
Tanzania,Panza Wreck,-5.48256,39.62904
Tanzania,Pemba Matumbini,-5.3961,39.55704
Tanzania,Ruvula,-10.3,40.38
Tanzania,Taa,-5.3031,39.0982
Tanzania,Taa,-5.3031,39.0982
Tanzania,Taa,-5.3031,39.0982
Tanzania,Ulenge,-5.02543,39.16558
Tanzania,Ulenge 2- 3m,-5.011961,39.165986
Tanzania,Ulenge 2- 7m,-5.01226,39.16722
Tanzania,Ulenge Lighthouse,-5.00582,39.16917
Tanzania,Uvinge,-5.1351,39.6239
Tanzania,Yambe East,-5.11444,39.17922
Tanzania,Yambe North,-5.08979,39.16858
Mozambique,Baluba,-22.04,35.52
Mozambique,Londo 2,-12.93,40.51
Mozambique,Londo3 Outside,-12.91332,40.51946
Mozambique,Londo3 Outside,-12.91332,40.51946
Mozambique,Londo baobab,-12.9197,40.4999
Mozambique,Londo baobab,-12.9197,40.4999
Mozambique,Londo baobab,-12.9197,40.4999
Mozambique,Londo outside 2012,-12.9286,40.5069
Mozambique,Motiva,-14.4274,40.72038
Mozambique,Nairete,-14.44934,40.67789
Mozambique,Paradise 1,-14.45889,40.65984
Mozambique,Paradise 2,-14.43053,40.65155
Mozambique,Pemba 1,-12.96139,40.55917
Mozambique,Pemba 4,-12.9647,40.59254
Mozambique,Pemba 5,-12.95634,40.58707
Mozambique,Pemba 6,-12.95558,40.58472
Mozambique,Pemba Shallows,-12.961389,40.559167
Mozambique,Pemba Shallows,-12.961389,40.559167
Indonesia,Control Pasi,5.19622,95.26637
Indonesia,Pulau Pasie,4.616389,95.574139
Madagascar,Antsa_09,-22.78652,43.33463
Madagascar,Iha_01,-15.49041,49.89995
Madagascar,Iha_02,-15.47062,49.89058
Madagascar,Marofot_01,-15.77711,50.00177
Madagascar,Marofot_02,-15.7567,49.97539
Madagascar,NS01,-13.29055,48.15712
Madagascar,Ankarea_03,-12.845278,48.574083
Madagascar,Antsoa_07,-12.985736,48.577917
Madagascar,Beangovo_04,-13.002778,48.497639
Madagascar,NosyFisaka_02,-12.74733,48.592333
Madagascar,Nosy Komba,-13.43711,48.3471
Madagascar,Tandavandriva_North,-13.18982,48.17449
Madagascar,Tandavandriva_West,-13.3116,48.02728
Madagascar,Tsarabanjina_08,-13.034944,48.549417
Indonesia,Cendekian,-5.80419,110.55876
Indonesia,Genting 1,-5.86211,110.60538
Indonesia,Genting 2,-5.8336,110.60616
Indonesia,Genting 3,-5.84098,110.61131
Fiji,K_E10,-16.2900919,179.0373739
Fiji,K_E9,-16.2805319,179.0395239
Fiji,K_E9,-16.2805319,179.0395239
Indonesia,Sea Site,-8.4078,117.44772
Indonesia,Tanjung Bara,-8.40459,117.56184
Indonesia,Tanjung Menangis,-8.40283,117.43035
Indonesia,Cendekian,-5.80419,110.55876
Indonesia,Genting 1,-5.86211,110.60538
Indonesia,Genting 2,-5.8336,110.60616
Indonesia,Genting 3,-5.84098,110.61131
Fiji,BUA24A,-16.838822,178.523042
Fiji,BUA25,-16.84262,178.539783
Fiji,KB09,-16.96729,178.99922
Fiji,KB17,-16.95352,179.00135
Fiji,KR7,-16.9439,178.97691
Fiji,NTRFN1,-17.509,178.382
Fiji,NTRFN7,-17.516,178.398
Fiji,NTRFT5,-17.499,178.381
Fiji,Ada01,-17.19859,-179.01408
Fiji,Ada04,-17.2061,-179.01196
Fiji,Kan03,-17.25385,-179.13147
Fiji,Kan04,-17.22413,-179.08215
Fiji,Kan05,-17.26847,-179.17772
Fiji,Kan06,-17.25014,-179.17595
Fiji,Kan07,-17.25005,-179.12773
Fiji,Vatu01,-17.43846,-179.53204
Fiji,Vatu02,-17.44287,-179.54608
Fiji,Vatu03,-17.43134,-179.549
Fiji,Vatu04,-17.41956,-179.5347
Fiji,Vatu05,-17.43272,-179.5182
Fiji,Vatu06,-17.44051,-179.52986
Fiji,Yac01,-17.25782,-179.55023
Fiji,Yac03,-17.26381,-179.50087
Fiji,Yac04,-17.2665,-179.48424
Fiji,Yac05,-17.25255,-179.5032
Fiji,Yac06,-17.23642,-179.52521
Fiji,Yac07,-17.24219,-179.51791
Fiji,Yac08,-17.23875,-179.50404
Fiji,Yac09,-17.23876,-179.49728
Fiji,Yac11,-17.26002,-179.49187
Fiji,Yac13,-17.2482,-179.54135
Fiji,Yac15,-17.24652,-179.53996
Fiji,Yac16,-17.25345,-179.5475
Fiji,Yac19,-17.26797,-179.47536
Fiji,Yac20,-17.26024,-179.5497
Fiji,BUA04,-16.896101,178.47759
Fiji,BUA07A,-16.83297,178.557182
Fiji,BUA24A,-16.838822,178.523042
Fiji,BUA25,-16.84262,178.539783
Fiji,KB09,-16.96729,178.99922
Fiji,KB17,-16.95352,179.00135
Fiji,KR7,-16.9439,178.97691
Fiji,NAOBF3,-17.598,178.825
Fiji,NAOBF4,-17.595,178.819
Fiji,NTRFN1,-17.509,178.382
Fiji,NTRFN7,-17.516,178.398
Fiji,C13,-17.0476,178.9761
Fiji,C13,-17.0476,178.9761
Fiji,C13,-17.0476,178.9761
Fiji,C3,-17.063367,179.020033
Fiji,C3,-17.063367,179.020033
Fiji,C3,-17.063367,179.020033
Fiji,C5,-17.060783,179.0013
Fiji,C5,-17.060783,179.0013
Fiji,C5,-17.060783,179.0013
Fiji,KB06,-17.0712,179.0342
Fiji,KB06,-17.0712,179.0342
Fiji,KB06,-17.0712,179.0342
Fiji,KB06,-17.0712,179.0342
Fiji,KB07,-17.08317,179.04076
Fiji,KB07,-17.08317,179.04076
Fiji,KB07,-17.08317,179.04076
Fiji,KB09,-16.96729,178.99922
Fiji,KB09,-16.96729,178.99922
Fiji,KB09,-16.96729,178.99922
Fiji,KB13,-16.91,179.1059
Fiji,KB13,-16.91,179.1059
Fiji,KB14,-16.889,179.1018
Fiji,KB14,-16.889,179.1018
Fiji,KB15,-16.93207,179.08084
Fiji,KB17,-16.95352,179.00135
Fiji,KB17,-16.95352,179.00135
Fiji,KR7,-16.9439,178.97691
Fiji,MAP02,-16.9191,179.0367
Fiji,MAP06,-16.8369,179.0801
Fiji,MAP07,-16.9599,178.9698
Fiji,MAP08,-16.9926,178.976039
Fiji,MAP09,-16.9592,178.9781
Fiji,MAP10,-16.9774,178.9824
Fiji,MAP11,-16.9754,178.9722
Fiji,MAP12,-16.9413,179.0036
Fiji,MAP13,-16.8877,179.0934
Fiji,MAP14,-16.902,179.0919
Fiji,MAP15,-16.1596,179.0788
Fiji,MAP16A,-16.9205,179.0766
Fiji,MAP17,-16.9141,179.0666
Fiji,MAP18,-16.8864,179.0757
Fiji,MAP20A,-16.8417,179.0912
Fiji,MAP21,-16.8541,179.0932
Fiji,MAP28,-16.8656,179.0415
Fiji,MO1,-17.0485,178.9554
Fiji,MO1,-17.0485,178.9554
Fiji,MO1,-17.0485,178.9554
Fiji,MO4,-16.975417,178.99725
Fiji,NKC,-16.8447,179.0695
Fiji,NOB2,-16.8978,179.105
Fiji,NOB2,-16.8978,179.105
Fiji,NOB2,-16.8978,179.105
Fiji,RF13,-16.9187,179.1032
Fiji,RF13,-16.9187,179.1032
Fiji,RF18,-16.9932,179.0162
Fiji,RF18,-16.9932,179.0162
Madagascar,S1J1C1,-13.3551,47.98186
Madagascar,S1j1C2,-13.35393,47.98103
Madagascar,S1J1C3,-13.35641,47.97983
Madagascar,S1J2C1,-13.34918,48.00336
Madagascar,S1J2C2,-13.34647,48.00336
Madagascar,S1J2C3,-13.34877,48.00048
Madagascar,S1J2C3,-13.34877,48.00048
Madagascar,S1J3C1,-13.32772,48.01737
Madagascar,S1J4D1,-13.3141,48.02585
Madagascar,S1J4D2,-13.3116,48.02728
Madagascar,S1J4D3,-13.31495,48.02864
Madagascar,S1J6D1,-13.28593,48.03041
Madagascar,S1J6D2,-13.28824,48.03196
Madagascar,S1J6D3,-13.28459,48.03297
Madagascar,S1J6E1,-13.26823,48.01257
Madagascar,S1J6E2,-13.27086,48.01406
Madagascar,S1J6E3,-13.27223,48.01666
Madagascar,S2J2B1,-13.22509,48.07775
Madagascar,S2J2B2,-13.22223,48.072411
Madagascar,S2J2B3,-13.22334,48.07532
Madagascar,S2J3A1,-13.24049,48.15931
Madagascar,S2J3A2,-13.24513,48.15619
Madagascar,S2J3A3,-13.24267,48.15798
Madagascar,S2J5D1,-13.19054,48.17632
Madagascar,S2J5D2,-13.18982,48.17449
Madagascar,S2J5D3,-13.19185,48.17305
Madagascar,S3J2B1,-13.10248,48.23003
Madagascar,S3J2B2,-13.10612,48.23159
Madagascar,S3J3B1,-13.07287,48.24871
Madagascar,S3J3C,-13.05642,48.22301
Madagascar,S3J4B1,-13.05213,48.23666
Madagascar,S3J4B2,-13.04991,48.23211
Madagascar,S3J5B1,-13.02945,48.28634
Madagascar,S3J5B2,-13.03139,48.28535
Madagascar,S3J6A1,-13.02446,48.29053
Madagascar,S3J6A2,-13.02197,48.29816
Fiji,BUA01A,-16.8277,178.351275
Fiji,BUA01B,-16.821882,178.358538
Fiji,BUA02A,-16.811301,178.173314
Fiji,BUA03A,-16.889472,178.479504
Fiji,BUA04,-16.896101,178.47759
Fiji,BUA05,-16.946311,178.450133
Fiji,BUA06A,-16.954782,178.476185
Fiji,BUA07A,-16.83297,178.557182
Fiji,BUA08A,-16.8494,178.543537
Fiji,BUA09A,-16.803491,178.324957
Fiji,BUA10A,-16.837014,178.273199
Fiji,BUA10B,-16.829014,178.275178
Fiji,BUA12A,-16.677986,178.483719
Fiji,BUA17A,-16.775919,178.407411
Fiji,BUA19,-16.826757,178.569836
Fiji,BUA22A,-16.81341,178.167516
Fiji,BUA24A,-16.838822,178.523042
Fiji,BUA25,-16.84262,178.539783
Fiji,BUA25A,-16.688053,178.476461
Fiji,BUA31A,-16.767019,178.420775
Fiji,BUA39,-16.794912,178.268345
Fiji,BUA40,-16.838237,178.30382
Fiji,BUA41,-16.837973,178.289428
Fiji,BUA42,-16.798135,178.307337
Fiji,BUA43,-16.796831,178.291324
Fiji,BUA44,-16.846508,178.324181
Fiji,BUA46,-16.833632,178.21648
Fiji,BUA47,-16.827814,178.376654
Fiji,DAM01A,-16.852215,178.510498
Fiji,DAM02A,-16.858351,178.528919
Fiji,DAM05,-16.886121,178.553044
Fiji,DAM06A,-16.9179,178.511939
Fiji,DAM07,-16.909849,178.594869
Fiji,DAM08A,-16.8902,178.60393
Fiji,DAM10A,-16.92092,178.604294
Fiji,DAM13A,-16.952751,178.487678
Fiji,DAM14,-16.933671,178.56121
Fiji,DAM15A,-16.933946,178.62169
Fiji,DAM16A,-16.91069,178.604418
Fiji,DAM17A,-16.870412,178.566264
Fiji,DAM18,-16.943229,178.487088
Fiji,DAM19,-16.935588,178.507157
Fiji,DAM20,-16.888132,178.619
Fiji,DAM22,-16.938472,178.569678
Fiji,DAM24,-16.902319,178.568761
Fiji,LKN01,-16.519228,178.6986
Fiji,LKN02A,-16.483683,178.776548
Fiji,LKN05A,-16.572249,178.684113
Fiji,LKN06A,-16.571406,178.695908
Fiji,LKN07A,-16.588698,178.692922
Fiji,LKN08A,-16.584868,178.695599
Fiji,LKN11A,-16.602339,178.618038
Fiji,LKN14,-16.619766,178.538709
Fiji,LKN15,-16.505782,178.679571
Fiji,LKN17A,-16.544447,178.624206
Fiji,LKN20A,-16.544822,178.662773
Fiji,LKN21A,-16.510794,178.750171
Fiji,LKN24A,-16.497988,178.766056
Fiji,LKN31A,-16.672689,178.49641
Fiji,LKN33A,-16.481716,178.749017
Fiji,LKN34A,-16.524794,178.738048
Fiji,LKN35A,-16.5302,178.726918
Fiji,LKN36,-16.521164,178.66492
